
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =1740
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       0.641   TIME= 00:06:05
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   00:06:05  FEB 19, 2018 CP=      0.641

 Simple Cube--Static Structural (A5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
      67    0.18496E-002  -0.37136E+000   0.30465E-002  -0.18747E-002  -0.21705E-002  -0.32924E-003
      68   -0.91531E-004  -0.36671E+000   0.25269E-002  -0.13582E-002  -0.21582E-002  -0.44635E-003
      69    0.30652E-002  -0.35483E+000  -0.47503E-003  -0.16713E-002  -0.22793E-002  -0.13812E-002
      70   -0.23120E-002  -0.35980E+000   0.17327E-002   0.14053E-002   0.96205E-003  -0.23201E-002
      71   -0.19784E-001  -0.39173E+000  -0.17577E-001   0.83732E-002   0.17815E-001   0.31177E-002
      72   -0.12240E+000  -0.51483E+000  -0.12639E+000   0.59540E-001   0.60041E-001   0.20260E-001
      73    0.63179E-003  -0.39861E+000   0.71417E-003   0.12123E-002  -0.97414E-003  -0.12034E-003
      74    0.27840E-002  -0.39849E+000   0.13336E-002   0.14880E-002  -0.12669E-002  -0.25641E-003
      75    0.39347E-002  -0.39931E+000   0.14237E-002   0.18523E-002  -0.13618E-002  -0.25428E-003
      76    0.58325E-002  -0.39996E+000   0.81335E-003   0.16134E-002  -0.79154E-003  -0.48996E-003
      77    0.72117E-002  -0.39979E+000   0.10576E-002   0.86480E-003  -0.99709E-003  -0.24991E-003
      78    0.73122E-002  -0.39973E+000   0.10270E-002   0.45074E-003  -0.90128E-003  -0.14597E-003
      79    0.79003E-002  -0.40006E+000   0.11469E-002  -0.87126E-003  -0.95291E-003   0.86434E-004
      80    0.60024E-002  -0.39995E+000   0.14008E-002  -0.13974E-002  -0.98909E-003   0.16501E-004
      81    0.48746E-002  -0.39907E+000   0.14967E-002  -0.12140E-002  -0.11791E-002   0.19199E-003
      82    0.30180E-002  -0.39874E+000   0.12185E-002  -0.13487E-002  -0.12320E-002   0.41550E-003
      83    0.67617E-003  -0.39849E+000   0.91245E-003  -0.87130E-003  -0.10256E-002   0.91118E-004
      84   -0.29708E+000  -0.69318E+000  -0.29708E+000   0.12834E+000  -0.13155E+000   0.00000E+000
