
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =      13.031   TIME= 23:08:17
 The selected element set contains mixed materials.                      
  This could invalidate error estimation.                                

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   23:08:17  JAN 29, 2018 CP=     13.062

 Standard Hole--Static Structural (E5)                                         


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     139   -0.27500E+002   0.20962E+002  -0.75787E+002  -0.23945E+002  -0.36463E+002  -0.56338E+002
     140   -0.81657E+001   0.25398E+002  -0.61884E+002  -0.22430E+002  -0.36135E+002  -0.50602E+002
     141    0.35190E+001   0.26929E+002  -0.46971E+002  -0.19873E+002  -0.33195E+002  -0.43090E+002
     142    0.10540E+002   0.27258E+002  -0.32849E+002  -0.17225E+002  -0.28780E+002  -0.35376E+002
     143    0.15414E+002   0.27886E+002  -0.20538E+002  -0.14992E+002  -0.23594E+002  -0.28003E+002
     144    0.19868E+002   0.29879E+002  -0.10680E+002  -0.13666E+002  -0.17616E+002  -0.20526E+002
     145    0.25703E+002   0.34405E+002  -0.38513E+001  -0.13692E+002  -0.99502E+001  -0.11540E+002
     146    0.20508E+002   0.42806E+002  -0.31664E+001  -0.12545E+002  -0.75445E+001  -0.13516E+002
     147    0.16422E+002   0.39774E+002  -0.82356E+001  -0.12270E+002  -0.13354E+002  -0.23661E+002
     148    0.12319E+002   0.39234E+002  -0.15806E+002  -0.13356E+002  -0.17990E+002  -0.31976E+002
     149    0.73811E+001   0.40272E+002  -0.25429E+002  -0.15155E+002  -0.22128E+002  -0.39902E+002
     150    0.55718E+000   0.42004E+002  -0.36615E+002  -0.17148E+002  -0.25720E+002  -0.47587E+002
     151   -0.99187E+001   0.43141E+002  -0.48660E+002  -0.18854E+002  -0.28347E+002  -0.54220E+002
     152   -0.26124E+002   0.42018E+002  -0.60563E+002  -0.19509E+002  -0.29455E+002  -0.58014E+002
     153   -0.50087E+002   0.36618E+002  -0.71449E+002  -0.18027E+002  -0.28603E+002  -0.55945E+002
     154   -0.83049E+002   0.24743E+002  -0.80934E+002  -0.13228E+002  -0.25617E+002  -0.43632E+002
     155   -0.12510E+003   0.42333E+001  -0.89863E+002  -0.45645E+001  -0.20372E+002  -0.15887E+002
     156   -0.17451E+003  -0.25654E+002  -0.97512E+002   0.71881E+001  -0.11845E+002   0.31917E+002
     157   -0.23358E+003  -0.67870E+002  -0.10022E+003   0.18130E+002   0.22054E+001   0.10014E+003
     158   -0.31180E+003  -0.12976E+003  -0.90779E+002   0.20616E+002   0.21806E+002   0.17708E+003
     159   -0.41530E+003  -0.21593E+003  -0.63384E+002   0.74885E+001   0.40455E+002   0.23655E+003
     160   -0.52865E+003  -0.31465E+003  -0.25505E+002  -0.18942E+002   0.46903E+002   0.24794E+003
     161   -0.60950E+003  -0.39315E+003   0.50274E+001  -0.44469E+002   0.34784E+002   0.19727E+003
     162   -0.61727E+003  -0.41944E+003   0.93658E+001  -0.54637E+002   0.94844E+001   0.10112E+003
     163   -0.54126E+003  -0.38335E+003  -0.20199E+002  -0.44805E+002  -0.15625E+002  -0.34931E+001
     164   -0.40354E+003  -0.29840E+003  -0.70856E+002  -0.20185E+002  -0.27338E+002  -0.79346E+002
     165   -0.25222E+003  -0.19854E+003  -0.12004E+003   0.58625E+001  -0.20706E+002  -0.10797E+003
     166   -0.13239E+003  -0.11702E+003  -0.14827E+003   0.21118E+002  -0.25716E+001  -0.97747E+002
     167   -0.58658E+002  -0.65145E+002  -0.14891E+003   0.24110E+002   0.15242E+002  -0.70756E+002
     168   -0.20631E+002  -0.36373E+002  -0.13027E+003   0.20843E+002   0.25648E+002  -0.44883E+002
     169   -0.19013E+001  -0.20308E+002  -0.10350E+003   0.16667E+002   0.28673E+002  -0.26745E+002
     170    0.75173E+001  -0.10828E+002  -0.76444E+002   0.13421E+002   0.27410E+002  -0.15209E+002
     171    0.12098E+002  -0.50686E+001  -0.52659E+002   0.11037E+002   0.24241E+002  -0.80784E+001
     172    0.15416E+002  -0.43666E+000  -0.32669E+002   0.93902E+001   0.20196E+002  -0.38734E+001
     173    0.20253E+002   0.51519E+001  -0.17020E+002   0.83424E+001   0.15298E+002  -0.15730E+001
     174    0.29461E+002   0.13877E+002  -0.66387E+001   0.78078E+001   0.87731E+001  -0.38725E+000
     175    0.34532E+002   0.25606E+002  -0.80807E+001  -0.96383E+000  -0.15285E+001  -0.34029E+001
     176    0.23530E+002   0.15323E+002  -0.20585E+002  -0.10360E+001  -0.26040E+001  -0.72071E+001
     177    0.16868E+002   0.92302E+001  -0.39063E+002  -0.12101E+001  -0.33922E+001  -0.11892E+002
     178    0.11470E+002   0.45979E+001  -0.61863E+002  -0.14841E+001  -0.40007E+001  -0.18484E+002
     179    0.40786E+001  -0.12119E+001  -0.87431E+002  -0.18743E+001  -0.43741E+001  -0.28136E+002
     180   -0.94801E+001  -0.11361E+002  -0.11322E+003  -0.23814E+001  -0.42583E+001  -0.41975E+002
     181   -0.34736E+002  -0.29573E+002  -0.13340E+003  -0.29671E+001  -0.31948E+001  -0.60402E+002
     182   -0.82096E+002  -0.62177E+002  -0.14114E+003  -0.32164E+001  -0.88423E+000  -0.80260E+002
     183   -0.16037E+003  -0.11332E+003  -0.13038E+003  -0.24156E+001   0.22521E+001  -0.92396E+002
     184   -0.26861E+003  -0.17982E+003  -0.98469E+002  -0.24551E-001   0.49923E+001  -0.83703E+002
     185   -0.39444E+003  -0.25312E+003  -0.53933E+002   0.35064E+001   0.57477E+001  -0.42669E+002
     186   -0.50732E+003  -0.31443E+003  -0.10305E+002   0.66141E+001   0.36441E+001   0.31263E+002
     187   -0.57581E+003  -0.34552E+003   0.18182E+002   0.74841E+001  -0.50863E+000   0.12140E+003
     188   -0.58623E+003  -0.33987E+003   0.21730E+002   0.53568E+001  -0.47843E+001   0.20036E+003
